t,y
0.0,1.0
0.1,1.0841470984807897
0.2,1.1818336932959872
0.30000000000000004,1.2948504516592327
0.4,1.4247295354585148
0.5,1.57232339087581
0.6,1.737195325711167
0.7,1.9168904226116728
0.7999999999999999,2.106325120471875
0.8999999999999999,2.297721397358604
0.9999999999999999,2.481508218485551
1.0999999999999999,2.6481887894116296
1.2,2.790474052498674
1.3,2.904668934885578
1.4000000000000001,2.9907922436320233
1.5000000000000002,3.051713312705761
1.6000000000000003,3.0919402267670555
1.7000000000000004,3.116523130895578
1.8000000000000005,3.130244618344284
1.9000000000000006,3.137109632263293
2.0000000000000004,3.1401069229607512
2.1000000000000005,3.1412047372534553
2.2000000000000006,3.14152151631695
2.3000000000000007,3.141585717801668
2.400000000000001,3.141592635683291
2.500000000000001,3.1415926554219444
2.600000000000001,3.141592653189927
2.700000000000001,3.1415926537282965
2.800000000000001,3.141592653522207
2.9000000000000012,3.1415926536333503
3.0000000000000013,3.141592653554189
3.1000000000000014,3.1415926536257017
3.2000000000000015,3.141592653545992
3.3000000000000016,3.141592653653447
3.4000000000000017,3.1415926534808647
3.5000000000000018,3.141592653807259
3.600000000000002,3.1415926530871108
3.700000000000002,3.14159265492684
3.800000000000002,3.141592649518846
3.900000000000002,3.1415926677164623
4.000000000000002,3.1415925979272576
4.100000000000001,3.1415929018344046
4.200000000000001,3.14159140391928
4.300000000000001,3.1415997375134346
4.4,3.14154752914234
4.5,3.141915071686526
4.6,3.1390127565220842
4.699999999999999,3.1646786574713497
4.799999999999999,2.9108771183695827
4.899999999999999,5.6895063563138
4.999999999999998,-1.8228551595623967
5.099999999999998,-16.195200405306327
